Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Austin Croshere,PF,27,IND,49.0,633.0,16.1,0.53,0.33,0.311,7.3,19.9,13.7,14.9,0.5,1.5,10.5,18.9,1.2,0.8,2.0,0.151,1.7,0.0,1.7,0.6
Avery Johnson,PG,37,DAL,48.0,430.0,12.2,0.467,0.013,0.26,2.6,5.4,4.0,22.8,1.8,0.2,14.8,20.7,0.1,0.3,0.4,0.044,-2.2,-1.0,-3.2,-0.1
Baron Davis,PG,23,NOH,50.0,1889.0,16.9,0.5,0.355,0.164,3.4,8.1,5.7,30.5,2.6,0.8,14.1,24.0,2.2,2.2,4.5,0.113,2.5,0.7,3.2,2.5
Ben Wallace,C,28,DET,73.0,2873.0,17.2,0.486,0.014,0.432,11.9,34.9,23.2,6.9,2.0,5.9,14.5,10.2,2.7,7.9,10.6,0.176,0.4,3.5,3.9,4.3
Bimbo Coles,PG,34,CLE-BOS,35.0,691.0,6.7,0.413,0.19,0.25,1.7,8.0,4.8,16.6,1.3,0.4,13.1,13.8,-0.2,0.2,0.0,0.0,-4.7,-0.7,-5.4,-0.6
Bo Outlaw,C,31,PHO,80.0,1800.0,12.2,0.574,0.007,0.417,8.3,14.8,11.6,9.2,1.5,2.9,18.8,10.1,2.2,2.2,4.4,0.116,-1.2,1.8,0.6,1.2
Bob Sura,SG,29,GSW,55.0,1130.0,14.2,0.51,0.259,0.451,5.5,10.2,7.9,23.9,2.0,0.1,17.3,17.9,1.6,0.2,1.8,0.075,0.2,-0.9,-0.7,0.4
Bobby Jackson,PG,29,SAC,59.0,1676.0,18.4,0.561,0.321,0.204,3.8,9.8,7.0,17.7,2.1,0.1,11.7,23.8,3.3,2.2,5.5,0.157,2.4,0.5,2.9,2.1
Bobby Simmons,SG,22,WAS,36.0,378.0,13.0,0.471,0.045,0.313,10.3,13.8,12.0,8.9,1.4,0.6,5.9,16.9,0.6,0.3,0.9,0.111,-1.7,-1.2,-2.9,-0.1
Bonzi Wells,SG,26,POR,75.0,2396.0,15.7,0.505,0.131,0.316,4.9,14.9,9.9,18.0,2.8,0.6,16.0,25.9,0.9,3.1,4.0,0.08,-0.6,0.4,-0.2,1.1
Boštjan Nachbar,SF,22,HOU,14.0,77.0,5.8,0.41,0.323,0.323,4.6,11.7,8.2,6.8,1.4,1.9,14.5,24.8,-0.2,0.1,-0.1,-0.053,-6.2,-1.3,-7.5,-0.1
Brad Miller,C,26,IND,73.0,2270.0,19.3,0.579,0.024,0.535,9.4,20.2,14.9,14.5,1.5,1.4,12.5,18.7,6.1,3.4,9.6,0.202,2.2,0.8,3.0,2.9
Brandon Armstrong,SG,22,NJN,17.0,69.0,3.9,0.405,0.222,0.222,0.0,6.6,3.3,4.8,2.3,1.1,14.4,22.6,-0.2,0.1,-0.1,-0.05,-7.4,-0.7,-8.1,-0.1
Brandon Williams,SF,27,ATL,6.0,19.0,-10.4,0.143,0.143,0.0,12.5,0.0,6.0,0.0,5.6,0.0,30.0,24.1,-0.2,0.0,-0.2,-0.392,-17.7,-4.1,-21.8,-0.1
Brendan Haywood,C,23,WAS,81.0,1930.0,13.5,0.561,0.0,0.723,11.7,13.0,12.4,2.4,0.9,4.6,12.7,12.5,3.1,1.9,5.0,0.125,-1.6,-0.2,-1.8,0.1
Brent Barry,SG,31,SEA,75.0,2480.0,15.8,0.597,0.508,0.279,2.2,12.2,7.1,25.0,2.5,0.5,18.0,14.9,4.8,2.5,7.3,0.141,1.1,1.5,2.6,2.9
Brevin Knight,PG,27,MEM,55.0,928.0,11.2,0.442,0.035,0.162,1.8,7.9,4.9,38.0,3.9,0.1,27.8,16.4,-0.5,0.7,0.2,0.008,-3.5,0.5,-3.0,-0.2
Brian Cardinal,PF,25,WAS,5.0,15.0,13.8,0.41,0.25,0.5,23.6,15.8,19.7,10.4,0.0,0.0,17.0,18.5,0.0,0.0,0.0,0.051,1.7,-4.5,-2.8,0.0
Brian Grant,C,30,MIA,82.0,2641.0,15.6,0.552,0.0,0.303,10.2,26.8,18.3,7.2,1.3,1.4,14.4,16.0,3.5,4.1,7.7,0.139,-0.8,0.4,-0.4,1.1
Brian Scalabrine,PF,24,NJN,59.0,724.0,8.9,0.487,0.231,0.213,6.3,15.9,11.1,9.9,1.2,1.9,19.9,14.4,-0.1,1.2,1.0,0.068,-2.9,0.8,-2.1,0.0
